Date,Macro_Sentiment,Macro_News_Volume,Macro_Sentiment_3d
2020-04-06,-0.10630000000000002,10,-0.012574444444444435
2020-04-07,-0.0258,2,-0.12144666666666665
2020-04-08,0.1660375,8,0.011312500000000003
2020-04-09,0.32206,5,0.15409916666666668
2020-04-13,-0.037974999999999995,4,0.15004083333333335
2020-04-14,0.2299857142857143,7,0.1713569047619048
2020-04-15,0.0,4,0.06400357142857144
2020-04-16,-0.00516,5,0.07494190476190477
2020-04-17,0.0843,5,0.02638
2020-04-20,0.07308,5,0.05074000000000001
2020-04-21,-0.09106666666666667,3,0.022104444444444444
2020-04-22,0.0,1,-0.005995555555555555
2020-04-24,0.0258,1,-0.021755555555555556
2020-04-27,-0.17235,4,-0.048850000000000005
2020-04-28,0.31845,4,0.0573
2020-04-29,0.0,1,0.0487
2020-04-30,0.018000000000000002,4,0.11215000000000001
2020-05-01,-0.0146,7,0.001133333333333334
2020-05-04,0.16114,5,0.054846666666666676
2020-05-05,-0.1447,7,0.0006133333333333361
2020-05-06,0.074,4,0.030146666666666672
2020-05-07,0.06425714285714286,7,-0.002147619047619042
2020-05-08,0.1323,8,0.09018571428571427
2020-05-11,-0.1272,5,0.023119047619047612
2020-05-12,0.11600000000000003,4,0.040366666666666676
2020-05-13,-0.025675,4,-0.012291666666666659
2020-05-14,0.041679999999999995,5,0.04400166666666668
2020-05-15,0.2979,3,0.10463499999999999
2020-05-18,0.21075,2,0.18344333333333332
2020-05-19,-0.07543333333333334,3,0.14440555555555556
2020-05-20,-0.08664999999999999,6,0.01622222222222222
2020-05-21,0.17131666666666664,6,0.0030777777777777717
2020-05-22,-0.06743333333333333,3,0.005744444444444441
2020-05-26,0.169125,8,0.09100277777777777
2020-05-27,0.04615714285714285,7,0.049282936507936505
2020-05-28,-0.0065100000000000045,10,0.0695907142857143
2020-05-29,0.05767499999999999,4,0.032440714285714274
2020-06-01,-0.08654285714285716,7,-0.011792619047619054
2020-06-02,-0.14928571428571427,7,-0.05938452380952381
2020-06-03,0.31845,2,0.027540476190476188
2020-06-04,0.05273333333333333,6,0.07396587301587303
2020-06-05,0.21673333333333333,6,0.19597222222222221
2020-06-08,0.10848750000000001,8,0.1259847222222222
2020-06-09,0.0413125,8,0.12217777777777776
2020-06-10,-0.10336666666666666,6,0.015477777777777776
2020-06-11,0.07455999999999999,5,0.0041686111111110995
2020-06-12,0.0,4,-0.009602222222222234
2020-06-15,-0.05303333333333333,6,0.0071755555555555435
2020-06-16,0.26724000000000003,5,0.07140222222222223
2020-06-17,0.13006666666666666,6,0.11475777777777778
2020-06-18,-0.1998,3,0.06583555555555555
2020-06-19,0.008099999999999998,6,-0.02054444444444446
2020-06-22,0.0,3,-0.06390000000000001
2020-06-24,0.1830857142857143,7,0.06372857142857143
2020-06-25,0.025675000000000003,4,0.06958690476190475
2020-06-26,-0.26815,4,-0.019796428571428576
2020-06-29,0.15648,10,-0.028665000000000006
2020-06-30,0.06643333333333333,9,-0.015078888888888897
2020-07-01,0.27332727272727275,11,0.16541353535353534
2020-07-02,0.17933333333333332,9,0.17303131313131312
2020-07-06,0.14883333333333335,6,0.2004979797979798
2020-07-07,0.0,1,0.10938888888888887
2020-07-08,0.07429999999999999,5,0.07437777777777776
2020-07-09,0.0,2,0.024766666666666645
2020-07-10,-0.07955,4,-0.00175000000000002
2020-07-13,0.12163333333333333,6,0.014027777777777759
2020-07-14,-0.031233333333333325,3,0.0036166666666666513
2020-07-15,-0.1516,5,-0.02040000000000002
2020-07-16,0.0,1,-0.06094444444444447
2020-07-20,0.33738333333333337,6,0.06192777777777777
2020-07-21,0.18578333333333333,6,0.1743888888888889
2020-07-22,0.23156666666666667,6,0.25157777777777773
2020-07-23,0.11550000000000002,5,0.17761666666666664
2020-07-24,-0.176,4,0.057022222222222224
2020-07-27,-0.5643,3,-0.20826666666666668
2020-07-28,0.08893333333333332,6,-0.21712222222222224
2020-07-29,-0.1682,3,-0.2145222222222222
2020-07-30,0.28595,2,0.06889444444444444
2020-07-31,-0.013528571428571421,7,0.0347404761904762
2020-08-03,0.3123666666666667,6,0.1949293650793651
2020-08-04,0.0622,6,0.12034603174603174
2020-08-05,0.0,1,0.12485555555555555
2020-08-06,-0.048857142857142856,7,0.0044476190476190475
2020-08-07,-0.09545,4,-0.04810238095238095
2020-08-10,-0.04731250000000001,8,-0.06387321428571428
2020-08-11,0.1142,8,-0.009520833333333334
2020-08-12,0.12040000000000001,3,0.06242916666666667
2020-08-13,0.0,1,0.0782
2020-08-14,-0.13054,5,-0.003379999999999985
2020-08-17,0.039775,8,-0.030254999999999987
2020-08-18,-0.128,16,-0.07292166666666665
2020-08-19,-0.0736,7,-0.05394166666666666
2020-08-20,0.2634571428571429,7,0.020619047619047638
2020-08-21,-0.02036249999999999,8,0.05649821428571431
2020-08-24,0.08600000000000002,2,0.10969821428571432
2020-08-25,0.043628571428571426,14,0.03642202380952383
2020-08-26,-0.01031666666666666,6,0.03977063492063494
2020-08-27,0.21423333333333336,3,0.08251507936507939
2020-08-28,0.059333333333333335,9,0.08775000000000001
2020-08-31,-0.05955,4,0.0713388888888889
2020-09-01,0.19571666666666668,6,0.06516666666666668
2020-09-02,0.06847142857142859,7,0.06821269841269843
2020-09-03,-0.14195,10,0.04074603174603177
2020-09-04,-0.031375,4,-0.034951190476190455
2020-09-08,-0.049516666666666674,12,-0.07428055555555554
2020-09-09,-0.2667,6,-0.11586388888888888
2020-09-10,0.13906666666666667,3,-0.05904999999999999
2020-09-11,0.4019,1,0.09142222222222222
2020-09-14,-0.03291999999999999,5,0.16934888888888888
2020-09-15,0.01100000000000001,4,0.12666000000000002
2020-09-16,0.14698333333333333,6,0.0416877777777778
2020-09-17,0.34165999999999996,5,0.1665477777777778
2020-09-18,-0.20212,5,0.09550777777777779
2020-09-21,-0.019533333333333347,3,0.040002222222222224
2020-09-22,-0.1998,3,-0.14048444444444444
2020-09-23,-0.10204909090909091,55,-0.10712747474747474
2020-09-24,0.30108,5,-0.00025636363636361015
2020-09-25,-0.3026666666666667,3,-0.03454525252525251
2020-09-28,0.05666666666666667,6,0.01836000000000002
